0.0983975,0.295808,220,2197
0.0992816,0.293988,220,2197
0.097109,0.293959,220,2197
0.0965655,0.293686,220,2197
0.0952316,0.296948,220,2197
0.0981431,0.295216,220,2197
0.103451,0.2951,221,2197
0.109929,0.293898,221,2197
0.117051,0.288728,221,2197
0.126171,0.286218,221,2197
0.130904,0.285363,221,2197
0.141062,0.281036,221,2197
0.147004,0.283546,221,2197
0.15708,0.284587,222,2197
0.162839,0.287677,222,2197
0.177589,0.293518,222,2197
0.187181,0.29566,222,2197
0.196354,0.29186,222,2197
0.205989,0.287356,223,2197
0.213406,0.29298,223,2197
0.223882,0.29795,223,2197
0.245304,0.311843,223,2197
0.268617,0.319983,224,2196
0.283125,0.323539,224,2196
0.301709,0.335626,225,2196
0.316127,0.345643,225,2196
0.334918,0.352287,225,2196
0.352114,0.363152,226,2195
0.370165,0.376746,226,2195
0.398417,0.384697,226,2195
0.420271,0.392922,227,2195
0.441281,0.400786,227,2195
0.465419,0.404933,228,2195
0.489363,0.413386,228,2194
0.508116,0.415132,229,2194
0.538776,0.422723,229,2194
0.565232,0.428574,230,2194
0.609821,0.437853,231,2194
0.637325,0.448769,231,2194
0.667444,0.453659,232,2194
0.69044,0.455099,232,2194
0.729437,0.454741,233,2194
0.77603,0.453981,234,2194
0.809513,0.447328,235,2194
0.832149,0.445089,235,2194
0.876237,0.44579,236,2194
0.905878,0.443905,237,2194
0.95452,0.443507,238,2194
1.00428,0.439761,239,2194
1.04126,0.434374,239,2194
1.09053,0.426662,240,2194
1.12754,0.427004,241,2194
1.16469,0.427268,242,2194
1.21044,0.4248,243,2194
1.24332,0.424022,243,2194
1.28999,0.415056,244,2194
1.34872,0.411182,245,2195
1.3907,0.413991,246,2194
1.43746,0.412426,247,2194
1.47632,0.410896,248,2195
1.50705,0.40746,249,2195
1.55134,0.406426,250,2195
1.61149,0.41298,251,2194
1.65233,0.417115,252,2194
1.70988,0.417107,253,2194
1.75475,0.421222,254,2194
1.79886,0.423121,254,2194
1.8449,0.425893,255,2194
1.87965,0.428896,256,2194
1.9357,0.436391,257,2194
1.99484,0.44822,258,2194
2.04081,0.463987,259,2193
2.07005,0.474601,260,2193
2.11926,0.48489,261,2193
2.15364,0.491893,262,2193
2.20027,0.505784,263,2193
2.2386,0.513638,263,2192
2.30062,0.540158,265,2192
2.34865,0.563075,265,2191
2.38596,0.57639,266,2191
2.4249,0.591097,267,2191
2.45904,0.601476,268,2191
2.493,0.611562,268,2191
2.55036,0.631676,270,2190
2.58295,0.647699,270,2190
2.64333,0.672318,271,2189
2.66974,0.686542,272,2189
2.72632,0.716057,273,2188
2.74973,0.738025,273,2188
2.80444,0.776068,275,2187
2.85071,0.800564,276,2187
2.896,0.82442,276,2186
